customer_id,customer_name,email,phone,city,state,country,region,customer_since,customer_type
CUST00001,Allison Hill,donaldgarcia@mcclain.com,833-589-0838,Chicago,IL,USA,East,2022-11-15,Wholesale
CUST00002,Pacheco-Smith,helenpeterson@lewis.com,361-855-9407,Singapore,SG,Singapore,North,2021-01-07,Retail
CUST00003,Calderon-Montgomery,barbara10@perez.com,664-375-2553,Chicago,IL,USA,North,2023-09-03,Retail
CUST00004,Ferguson and Sons,stevennelson@watts.com,505.964.1395,Delhi,DL,India,Central,2022-08-09,Retail
CUST00005,"Ellis, Baker and Wright",julie69@cox-osborn.com,671.201.2269x16697,Singapore,SG,Singapore,Central,2024-01-11,E-commerce
CUST00006,Maldonado PLC,kayla51@graham-chavez.com,728.914.8932x52880,Rotterdam,ZH,Netherlands,East,2020-09-21,Retail
CUST00007,Sherry Decker,john39@miller.com,001-682-827-8248x96383,Atlanta,GA,USA,West,2025-08-08,Enterprise
CUST00008,"Brooks, Lam and Hayes",jeffreymorgan@spencer.com,510.451.8347,Newark,NJ,USA,East,2024-03-29,Retail
CUST00009,"Johnston, Sanchez and Kennedy",glee@jordan.com,+1-610-965-1333x87262,Dallas,TX,USA,East,2021-11-16,Enterprise
CUST00010,Jessica Callahan,williamsyvette@novak.com,(977)436-0260x64746,Chicago,IL,USA,West,2021-07-29,Retail
CUST00011,Anthony Fitzgerald,adkinsbrian@woods.com,312.819.1361x93990,Mumbai,MH,India,North,2023-11-30,Enterprise
CUST00012,Emily Green,john62@brewer.com,6794911838,Rotterdam,ZH,Netherlands,East,2025-04-17,Wholesale
CUST00013,Sherry Wood,samueldaniels@carr-archer.net,4846124118,Chicago,IL,USA,South,2022-01-13,Enterprise
CUST00014,Grant Watts,william40@walters.com,2523427868,Newark,NJ,USA,North,2021-01-01,E-commerce
CUST00015,"Mckee, Gardner and Davenport",russellwilliams@nolan-flynn.com,(833)215-8692x322,Hamburg,HH,Germany,East,2021-07-10,Wholesale
CUST00016,Patton-Jenkins,josephcobb@reyes.info,837.754.3303,Newark,NJ,USA,East,2022-01-07,Retail
CUST00017,Raymond Bell,ifrazier@crosby-wilson.com,(894)301-9655,Atlanta,GA,USA,Central,2022-07-21,Wholesale
CUST00018,"Lee, Williams and Graham",michaeljones@mccall.com,001-448-646-5648x2366,Mumbai,MH,India,East,2022-08-28,Wholesale
CUST00019,Elizabeth Clark,steven73@kennedy.com,+1-514-989-5134x33200,Chicago,IL,USA,South,2023-09-07,Retail
