supplier_id,supplier_name,contact_person,email,phone,city,country,category,onboarded_date,rating
SUP0001,"Torres, Valdez and Briggs",Timothy Bauer,elizabeth33@hernandez-moore.com,6917217221,Singapore,Singapore,Packaging,2023-06-10,3.0
SUP0002,"Allen, Olson and Ortiz",Mary Powers,sharon37@johnson.com,9044627765,Singapore,Singapore,Raw Material,2024-05-03,3.9
SUP0003,"Levy, Henderson and Edwards",Lacey Graves,boothfrank@perry-tucker.com,(402)838-9743,Delhi,India,Packaging,2018-11-24,3.4
SUP0004,Welch Ltd,Lucas Rogers,webbmadison@harris.net,686-989-9936x079,Newark,USA,Textiles,2018-12-09,2.8
SUP0005,Smith-Lawrence,Amy Gallegos,mhickman@hall.info,540-939-4640x830,Hamburg,Germany,Textiles,2020-04-19,3.8
SUP0006,Jordan Inc,Denise Olsen,usmith@french.info,001-738-484-1368,Hamburg,Germany,Electronics,2022-06-11,4.0
SUP0007,Smith Group,Matthew Potts,garciasarah@scott.biz,(363)325-1448,Rotterdam,Netherlands,Textiles,2025-07-04,4.0
SUP0008,Farrell Inc,Andrea Townsend,tammy17@martinez-miranda.net,581.679.4151x526,Columbus,USA,Electronics,2023-09-14,4.6
SUP0009,"Brock, Mcguire and Miller",Charles Martin,timothymiddleton@bell.biz,386-532-3979,Rotterdam,Netherlands,Packaging,2024-06-20,4.5
SUP0010,Grant-Ellis,Jacob Yoder,chavezadam@smith-beck.com,+1-456-905-7121x9881,Singapore,Singapore,Electronics,2022-02-01,4.8
SUP0011,"Swanson, Peterson and Weber",Russell Stewart,amanda64@trevino.com,+1-624-862-4561x85174,Rotterdam,Netherlands,Raw Material,2018-10-15,4.2
SUP0012,Murphy-Joseph,Tara Morrison,coxcody@tate-flores.com,(393)691-3044,Columbus,USA,Raw Material,2024-12-20,3.1
SUP0013,"Evans, Woodard and Goodwin",Thomas Fisher,joseph02@davis.com,470-575-6814,Dallas,USA,Packaging,2019-03-15,3.4
SUP0014,Lopez PLC,Ashley Burnett,trobinson@jackson.net,560.284.9378,Atlanta,USA,FMCG,2021-08-20,3.5
SUP0015,"Estrada, Lee and Rose",Jared Garza,joseph91@fisher.com,(593)242-9291x3203,Rotterdam,Netherlands,Packaging,2023-09-30,3.9
SUP0016,"Foster, Sanford and Hill",Aaron Clark,greeralexander@peterson.com,(515)456-6847,Mumbai,India,Packaging,2020-01-28,3.7
SUP0017,Lopez-Wade,Dana Burns,samuel40@ford-brown.com,001-278-943-6142x4426,Delhi,India,Automotive Parts,2024-02-16,4.8
SUP0018,"Brown, Gibson and Turner",Curtis Shields,rstuart@castillo.com,6377638821,Atlanta,USA,FMCG,2022-04-13,2.9
SUP0019,"Garcia, Atkins and Black",Jamie Brown,allenjustin@todd.net,+1-798-227-8020x586,Los Angeles,USA,Packaging,2021-12-29,3.0
SUP0020,Rodriguez LLC,Jessica Horton,brenda69@elliott.com,950.555.7385,Chennai,India,FMCG,2021-08-23,2.6
SUP0021,"Smith, Jones and Cunningham",Jason Williams,vgutierrez@garcia.info,001-323-633-5104x096,Columbus,USA,Raw Material,2023-02-16,3.7
SUP0022,Orozco-Davis,Lisa Davis,kylie83@alvarez.net,(507)636-5118,Newark,USA,Textiles,2018-08-18,4.9
SUP0023,"Bailey, Kelly and Chavez",Alyssa Davis,contrerasjames@young.com,433.224.7073,Delhi,India,Automotive Parts,2019-06-15,3.7
SUP0024,"Harris, Burton and Beard",Michael Moore,basserik@smith-brooks.net,(361)812-3126,Hamburg,Germany,Textiles,2020-03-25,3.5
SUP0025,Adams PLC,Stacey Schmidt,olivia29@guerrero.com,+1-974-354-9303x646,Chennai,India,Textiles,2024-09-30,2.9
SUP0026,Hogan and Sons,Crystal Graves,castroralph@carpenter.net,(383)523-0898,Rotterdam,Netherlands,Raw Material,2022-05-26,4.5
