movement_id,warehouse_id,product_id,movement_type,quantity,movement_date,reference_doc,handled_by
INV000001,WH007,PRD00122,INBOUND,372,2026-07-08,REF97329,Melvin Keller
INV000002,WH001,PRD00085,inbound,137,2026-04-07,REF69521,Christopher Jacobson
INV000003,WH014,PRD00118,OUTBOUND,684,2026-06-26,REF33555,Paul Gutierrez
INV000004,WH012,PRD00116,INBOUND,878,2026-04-01,REF53620,Jason Benton
INV000005,WH012,PRD00068,INBOUND,762,2026-03-28,REF61071,Raymond Hoffman
INV000006,WH015,PRD00101,RETURN,976,2026-04-08,REF19089,Logan Nguyen
INV000007,WH015,PRD00043,RETURN,793,2026-07-11,REF14457,Stephen Johnston
INV000008,WH014,PRD00065,OUTBOUND,664,2026-03-29,REF66319,Victoria Cox
INV000009,WH001,PRD00026,ADJUSTMENT,332,2026-03-30,REF26925,Benjamin Williams
INV000010,WH002,PRD00002,Outbound,590,2026-07-14,REF10132,Erika Woodward
INV000011,WH010,PRD00030,RETURN,447,2026-06-02,REF24352,Matthew Brandt
INV000012,WH001,PRD00124,INBOUND,368,2026-06-21,REF19689,Kathryn Smith
INV000013,WH010,PRD00093,inbound,795,2026-07-27,REF49718,Nicholas Larson
INV000014,WH002,PRD00086,inbound,352,2026-06-05,REF40650,Barry Simmons
INV000015,WH009,PRD00070,inbound,98,2026-06-08,REF95208,Brenda Cannon
INV000016,WH003,PRD00006,Outbound,642,2026-04-22,REF89282,Rebecca Smith
INV000017,WH013,PRD00085,INBOUND,22,2026-08-17,REF17348,Julie Castro
INV000018,WH009,PRD00038,Outbound,173,2026-05-14,REF10182,Brandon Munoz
INV000019,WH002,PRD00013,RETURN,307,2026-07-17,REF54058,Jason Pruitt
INV000020,,PRD00130,Outbound,908,2026-05-11,REF81038,Howard Wong
INV000021,WH013,PRD00091,INBOUND,143,2026-05-16,REF57057,Sandra Stanley
INV000022,WH013,PRD00028,ADJUSTMENT,821,2026-06-27,REF28030,Susan Smith
